index,exprimental,predicted
Q88RQ5,24.0,26.5805
Q5HNV1,25.0,28.6115
Q6W3D0,25.0,28.358
Q97U35,70.0,67.828
Q9C4M5,70.0,70.426
Q9WZZ1,78.0,73.9749833333
W8CXQ9,55.0,46.6075
P50933,50.0,43.711
P00344,28.0,40.71
P0C2T6,30.0,33.284
B1A4R6,65.0,65.7765
Q5SJA1,90.0,80.9368333333
Q2VEQ7,40.0,41.623
A0A140N893,30.0,31.87525
Q9AKS9,45.0,42.949
Q9I530,30.0,32.301
F8A9V0,70.0,65.8758333333
A0A0E4AX59,48.0,46.701
A0A0E4AY21,48.0,46.442
Q4J6C9,60.0,63.6341666667
Q5JFV8,60.0,63.67225
Q72IW9,60.0,53.2373903319
Q308C1,30.0,30.6518333333
Q58LW6,25.0,28.039
Q6QQP7,54.0,53.7555
A4YI81,70.0,70.822
Q5AIA2,30.0,31.95025
Q56R01,22.0,27.2306666667
Q58085,37.0,46.1154
Q6Y0Z3,37.0,37.0484166667
A9QVV8,45.0,41.76675
Q46N53,30.0,32.426
P09347,45.0,41.272
Q59468,37.0,37.053
I7CKJ5,37.0,35.2216666667
Q980N1,85.0,77.4509166667
Q48534,25.0,30.3505833333
Q0KEG0,38.0,35.76275
D3RXI4,85.0,82.3863333333
P9WNP7,37.0,37.15
Q9I1X3,30.0,30.576
Q7LYI9,70.0,67.452
Q6L047,55.0,57.8075
Q979W2,63.0,64.3609666667
A0A1B2F298,30.0,31.5735
O08349,78.0,74.0798253968
P80040,63.0,57.709
G4T3S9,63.0,50.3785
A3MWU9,90.0,85.1551666667
Q9K3J3,50.0,44.213
P10584,90.0,84.2284666667
P40332,37.0,37.333
Q6M0B9,37.0,38.058
O08349,70.0,74.0798253968
Q53TZ2,30.0,32.4615714286
D4GP33,45.0,44.604
P26616,37.0,35.749
E1V4Y1,25.0,30.258
P39831,30.0,32.501
Q05016,30.0,31.677
B3TMR8,30.0,31.73
Q9I5I6,37.0,35.6036666667
A4F2S6,50.0,43.7705
C8WGQ3,37.0,37.044
C8WJW0,37.0,37.03
C8WMP0,37.0,36.8581666667
A7AZH2,37.0,36.7801666667
E7EKB8,22.0,27.978
A0A0E4A9D6,50.0,47.5285
P76558,46.0,41.988
A6XP72,30.0,32.3978333333
Q9F3K4,30.0,32.1288333333
Q5JGC7,70.0,72.03135
Q717I9,25.0,27.745
P0DOW0,55.0,53.927
Q8GAX0,30.0,31.664
A0A0M4S9Q1,25.0,27.9885
A4ADB8,35.0,35.5517142857
Q1XIQ8,33.0,34.0575
Q1XIQ9,33.0,33.7376666667
A8YGS2,48.0,44.4215
B2ZAA4,46.0,42.379
Q9UWG7,55.0,59.2973333333
Q9HLV8,70.0,66.8615
Q6NHC5,37.0,36.1786666667
Q2RIZ2,50.0,55.691
P31072,20.0,24.25775
Q6WAT5,30.0,30.5513333333
D4GP33,45.0,44.604
P39485,37.0,37.5505
A6N8S2,30.0,33.4635833333
Q8GQE7,70.0,58.0036666667
Q9I1X3,30.0,30.576
R9UHL6,35.0,34.677
Q9WYD4,95.0,84.48635
Q5V676,60.0,52.437
Q9HMB6,58.0,55.17
D4GP73,88.0,71.925
U6CL97,40.0,38.981
A1IG83,37.0,35.9746666667
M4N626,28.0,31.671
Q8U3Y2,50.0,58.308
Q00055,25.0,26.5215
A0A060KZ16,25.0,26.702
Q9YEA1,95.0,87.0765
P76251,37.0,35.7053571429
P50455,97.0,88.8016666667
Q72IW9,37.0,53.2373903319
D3PT81,65.0,63.398
A4CYJ9,70.0,69.2695833333
P40495,25.0,28.9380833333
Q5SIJ1,60.0,53.2373903319
Q86ZV0,28.0,32.3363333333
A0A141BGH5,33.0,34.4806666667
Q2K0Q7,70.0,57.2225
E0D583,55.0,55.5345
X5F726,50.0,45.697
A0A1D8FJM6,37.0,37.2118
H9XP47,40.0,39.48975
D5G304,45.0,43.6488
A3GF05,30.0,33.629
O28538,85.0,79.1767452381
Q3ACV3,70.0,69.8955
A4YGN0,90.0,82.9946666667
C7G3B7,33.0,33.766
C7G3B8,33.0,33.756
C9K501,33.0,33.56
C9K502,33.0,33.486
C9K504,33.0,33.0008333333
C9W9E3,33.0,33.0805
D2SZY4,33.0,33.813
D2SZY5,33.0,34.222
Q6UG02,48.0,43.6664
Q5NT46,30.0,32.021
C8CCV9,22.0,27.7386666667
A0A068CB13,37.0,39.0914
Q0PGS3,40.0,41.1079404762
Q9HFQ1,37.0,39.823
K9L4P7,34.0,34.5215
A0LST6,25.0,38.72
D5KB61,30.0,31.6
Q8EEB0,25.0,29.4121666667
Q93RE1,60.0,52.4393333333
D7VYA1,35.0,34.464
H9NJ52,39.0,39.655
X5IDD2,70.0,55.739
A7LGL0,45.0,41.7375
I7FDJ2,30.0,30.832
O94219,25.0,29.4375
V5NQ89,40.0,41.871
S6D3Q2,20.0,28.5956666667
P15877,25.0,29.2806666667
Q9HVF1,30.0,30.37575
Q5ECC3,30.0,31.778
Q0CDD9,55.0,49.8225
O28443,78.0,73.9023333333
Q6BDD5,30.0,37.236
O42729,23.0,31.941
Q875J3,50.0,43.762
Q2UNF9,25.0,32.066
Q5FU85,25.0,28.13375
F2Z6G7,80.0,75.0412
A8N3P5,55.0,49.318
B0JDP9,25.0,27.17
O60199,22.0,27.076
Q97D83,23.0,29.978
B5U990,30.0,33.2735
Q97WG5,92.0,77.9396666667
O83522,25.0,28.811
Q9PER7,37.0,35.0843333333
T1SP91,70.0,60.6135
O28050,75.0,71.0615
A0A143G976,40.0,39.5553333333
Q939D2,37.0,36.42575
P26901,40.0,39.791
Q9AQQ9,40.0,39.88
L8B3D7,40.0,39.089
P08303,40.0,40.16
A0A0T6DN91,25.0,27.7475
Q6LA34,90.0,83.2596666667
D7RJ66,20.0,25.927
Q8L2Z7,37.0,38.1915
Q5F809,37.0,37.366
Q8NKS2,93.0,84.4842333333
Q8NKS3,93.0,83.739
Q8NKS4,93.0,85.3455
Q8NKS5,93.0,82.111547619
P32440,60.0,62.1421666667
A7LBQ4,35.0,36.958
A7LBQ5,40.0,38.916
A9V766,37.0,35.5985
A5HMH3,28.0,31.9755
A7LB47,30.0,32.5668333333
Q0K029,30.0,32.24
Q0KB75,30.0,32.989
Q6KZ98,50.0,54.4090833333
Q9I4G8,22.0,25.914
Q3BEM2,25.0,29.1675
Q8KRD4,25.0,28.238
A9QT35,40.0,37.924
Q6QF56,55.0,48.209
Q6QF57,55.0,47.465
G4NAP4,21.0,27.73
Q88E47,25.0,28.461
A9UVU0,37.0,35.96875
P29082,54.0,61.4851666667
A0A1W1WDM4,78.0,65.782
Q5NTE5,30.0,31.768
A0A0S2SWE4,30.0,30.816
F9FU71,0.0,12.577
Q01284,30.0,31.4053333333
P32021,23.0,25.14025
P06617,25.0,30.627
P39956,30.0,31.0745
P32021,23.0,25.14025
Q6WZB0,30.0,31.658
S5SPJ1,35.0,35.7895
A0A1R1AUM9,40.0,38.9205
Q9Z4Z5,25.0,30.1906
Q8GI14,35.0,34.0216666667
Q8GI16,35.0,38.0888571429
Q9EUT9,30.0,30.997
P71875,22.0,28.9008333333
P9WJ93,22.0,26.667
B1N1A2,37.0,36.5149
F8G0M4,25.0,28.3735666667
P32009,37.0,36.67
Q9I0Q0,25.0,27.759
Q51548,25.0,29.15
Q9S3U8,22.0,26.279
Q8NLB6,25.0,29.552
Q5EXK1,30.0,32.277
Q9F131,25.0,28.75975
O87082,30.0,31.4376666667
A5HMH6,28.0,31.97375
A5HMH7,28.0,31.9963333333
A5HMH8,28.0,31.4365
A5HMH9,28.0,32.2605
A5HMI0,28.0,29.7674166667
A5HMI1,28.0,30.379
A1XG20,25.0,29.2186666667
Q93TJ5,28.0,30.072
Q972I2,25.0,41.6385833333
Q52TE7,24.0,28.448
P9WJA1,25.0,29.129
Q603D5,25.0,30.504
A7LCL0,37.0,36.181
A7LCL1,37.0,39.42
A0A069AW73,25.0,29.7275
B2CML6,37.0,36.6906666667
C4B644,30.0,31.345
O85057,45.0,48.701
A0A059WLZ7,35.0,34.951
Q9WWW6,30.0,32.197
Q06069,30.0,30.471
B2Z3P7,60.0,51.1036666667
P11935,30.0,32.3823333333
Q06069,30.0,30.471
Q2IU02,30.0,31.22
C9QNK6,37.0,37.06225
P75898,22.0,27.11575
G7CFI3,25.0,30.293
B2AVF1,45.0,44.4947083333
B2B629,45.0,45.159
Q7SCE9,42.0,42.328
O69002,45.0,42.843
Q88P48,45.0,41.434
Q9HWR4,45.0,43.469
Q4K657,45.0,43.1035
Q4K7S1,45.0,42.126
A4Y0Y8,45.0,42.6846
Q88JR7,45.0,42.635
D9Q0R7,48.0,55.0195
A3NS93,37.0,37.3945
F8V325,60.0,54.797
Q1HEQ0,60.0,53.908
B0B552,25.0,30.212
P84612,15.0,23.82975
P80857,25.0,39.1841666667
M9QJD2,22.0,36.513
A9U908,4.0,16.8646666667
J7H7U2,4.0,17.12125
J7HET3,4.0,18.6791666667
D9J041,25.0,28.6476666667
E0XF09,25.0,28.746
Q8DL82,20.0,30.6975
B5A8W5,60.0,56.827
O54050,25.0,28.3509166667
B1PHD1,30.0,33.43
B1PHD2,30.0,32.139
B1PHD3,30.0,32.8173333333
P33677,65.0,55.75025
E7FHX6,80.0,78.3134166667
Q0VTB0,45.0,40.24675
Q0VTC7,55.0,48.1925833333
O05268,25.0,28.0871666667
A0ZSY5,53.0,46.6895
Q96YN9,80.0,76.8028333333
P9WIQ3,30.0,31.561
P9WNX5,30.0,31.355
Q81X74,55.0,48.451
Q01651,25.0,26.9625
P0C0G6,37.0,37.0229166667
P39460,87.0,79.55575
O34425,37.0,36.342
Q9RBF6,31.0,31.471
Q976X5,90.0,82.0366444444
Q97XS9,70.0,72.2142444444
Q4F895,48.0,42.1703333333
Q83V33,10.0,19.1385833333
V4GH04,25.0,27.523
G7VCG0,75.0,73.3099666667
B5A8W5,60.0,56.827
Q9FAB1,53.0,58.6260833333
D9TQ00,55.0,57.3381666667
Q01651,25.0,26.9625
Q971K2,60.0,62.7803333333
B7J8J0,37.0,35.3516666667
Q9UXR8,90.0,79.055797619
B1YBY5,65.0,66.7788333333
Q9RBF6,31.0,31.471
Q97XA5,70.0,70.7243333333
A1U2T0,30.0,31.02
A1U3L3,30.0,31.6
Q1XGK8,25.0,28.008
P09546,25.0,27.5045
Q6L285,61.0,62.7955833333
Q2HQS1,25.0,26.59
Q2HQS0,25.0,26.151
Q2HQR5,25.0,27.10825
Q2HQR7,25.0,27.65525
Q2HQR8,25.0,26.813
Q2HQR6,25.0,26.816
Q2HQS4,25.0,26.262
Q3C1A6,35.0,35.1655714286
Q2HQR3,25.0,26.234
O33468,60.0,51.856
Q72GU1,25.0,40.5658333333
A5VEL7,30.0,32.2228
Q51739,80.0,78.3865833333
Q8U3K2,50.0,58.65575
P71079,25.0,29.3
O30012,87.0,74.3453671356
Q97LU2,25.0,30.2901666667
Q5EU90,30.0,33.05
Q79ZT3,37.0,36.446
P54616,25.0,28.4843333333
Q62L02,25.0,29.087
P0AEK4,22.0,26.2655
P61431,22.0,27.3305
Q65MU7,80.0,66.6576666667
A8FAG9,80.0,69.905
P07788,80.0,69.5853333333
Q9UVY4,80.0,65.331
P00363,30.0,32.2564166667
O29786,55.0,61.9942714286
D3JV03,30.0,32.139
Q88K54,30.0,31.7036666667
Q88L87,30.0,31.7186666667
Q88L96,30.0,31.5014166667
Q88LN6,30.0,30.95
C3UVB0,30.0,33.007
C6KID9,30.0,33.105
Q08352,36.0,36.6424166667
Q9AIK2,56.0,48.7311
C4LUA1,37.0,37.6634761905
C8KIP3,37.0,37.4995
A0A171,54.0,58.8239166667
B3FYT6,54.0,58.667
G1UII1,55.0,55.36025
Q3S559,50.0,44.749
Q9AJC6,70.0,65.765
O59312,95.0,86.19745
P29051,40.0,41.495
Q977U6,60.0,53.597
A5LH94,40.0,37.428
Q46VA0,50.0,43.763
Q9HYA4,50.0,43.661
Q9YC65,83.0,80.19925
Q2WCS9,13.0,23.35075
Q8ILF7,25.0,28.4686166667
Q8ILT0,25.0,29.2375
A3MWK6,50.0,60.1768333333
A0A0P1J5J7,30.0,32.859
P13154,30.0,39.1568
A0A1B1PF34,40.0,39.17
A0A1S6XWY4,35.0,34.74
D6A5I3,30.0,32.373
P38032,25.0,27.2275833333
D7UTZ8,50.0,44.3
Q8VPD4,30.0,34.35025
A1R2C3,45.0,41.053
A1RDD3,45.0,41.08525
A0A077JN67,65.0,63.3925952381
A3KEZ1,37.0,36.596
C0MP41,50.0,45.296
A1IJT7,75.0,72.71075
A3KEZ1,37.0,36.596
V5YW53,30.0,32.058
Q46A53,37.0,37.585
Q9I492,30.0,34.194
Q5FB93,35.0,34.991
Q4U331,38.0,37.053
Q7BPB0,22.0,28.1105
P00381,30.0,33.23525
S5M3K7,28.0,28.337
D1MX70,39.0,37.54
D1MYR1,33.0,33.0936666667
Q54801,25.0,30.4365
Q27783,25.0,25.751
A2GH85,37.0,35.997
Q8GME2,22.0,26.466
Q81BW8,37.0,36.607
P43127,23.0,27.942
Q47RA9,65.0,59.157
C5B2R8,30.0,33.171
Q485S0,30.0,32.302
B1A7S3,37.0,38.175
I2D0K8,30.0,32.3364
Q8U022,50.0,56.1825
Q8U1G2,50.0,56.1116666667
O59089,50.0,54.578
O59445,50.0,54.505
Q5JFG2,50.0,57.4323333333
Q5JFG7,50.0,55.1523333333
Q4CVA1,37.0,36.422
Q8TXY4,65.0,67.2135
A1RVM8,70.0,69.3494166667
Q8RMG1,25.0,28.805
O50444,25.0,30.6115
P27306,35.0,35.031
A8PYK0,37.0,36.512
Q5JFZ8,80.0,78.3391666667
Q5JGF8,70.0,70.2745238095
Q5JGP4,70.0,70.3325
Q5JHY2,70.0,69.6515
Q5JJB9,70.0,68.8800333333
O29794,80.0,76.27985
O29852,68.0,68.01845
O29985,80.0,76.23175
O58049,95.0,83.4530277778
Q8E5N5,25.0,29.34775
A1B9E3,25.0,28.7987333333
Q9RFV6,30.0,32.8225833333
B1B5E3,30.0,30.3324
B1B5E4,30.0,30.3974
Q6WRS9,30.0,31.4465
Q838N5,35.0,35.8603333333
D0EFL2,24.0,27.1816666667
Q9X4K2,85.0,73.5138333333
Q8EBE0,40.0,39.97575
A0A073KHN9,25.0,27.7585666667
Q4QEB3,25.0,28.8316666667
A0A1B1KJ01,53.0,47.466
D0RAY2,70.0,59.803
Q3LGA9,73.0,70.2736
A7GXH2,37.0,36.5316666667
P0ABK9,25.0,29.3115
P78609,37.0,38.6156666667
P09152,25.0,29.978
P11349,25.0,29.52225
P11350,25.0,28.552
M0HXK1,50.0,46.041
A7GXH2,37.0,36.5316666667
Q8MZR8,25.0,27.968
Q95PT6,25.0,28.30775
Q5JGF8,70.0,70.2745238095
Q5JGP4,70.0,70.3325
A4V929,55.0,58.6101666667
A5N930,40.0,38.59375
Q8NTE1,50.0,45.5524166667
A0A0H2Z9F5,28.0,30.4295
A0A0H2ZB32,28.0,31.106
A0A0H2ZHZ0,28.0,32.095
Q9NL96,37.0,38.0203333333
B7J3E3,60.0,60.7450357143
Q9AL99,37.0,37.3153333333
P14930,37.0,37.636
P14930,37.0,37.636
Q9HJW5,25.0,39.5416666667
Q50754,70.0,68.5921666667
Q50755,70.0,68.5068333333
Q50756,70.0,71.617
Q9YDZ4,30.0,47.022
P39476,30.0,42.687
B7J3E3,70.0,60.7450357143
C6WXA3,22.0,26.276
P26236,30.0,31.565
U2ZU49,37.0,37.814
Q8U3C9,75.0,68.1191555556
Q9KJ20,37.0,37.788
Q9KJ22,37.0,38.8653333333
F6KV61,37.0,38.958
Q9KJ21,37.0,38.642
F6KV62,37.0,38.1403333333
O86169,37.0,43.3626666667
P53123,37.0,36.632
P0A6U5,37.0,36.1485
P95128,37.0,39.403
P75782,37.0,35.631
P13956,31.0,32.1714
P0ADR6,37.0,35.682
C1DSW3,37.0,37.636
P36999,37.0,35.7823333333
A4VMZ0,37.0,37.29
Q48F48,37.0,36.394
Q9S1M6,37.0,37.1595
P0AGL7,37.0,36.0803333333
P49017,37.0,35.3300833333
Q9UY84,50.0,59.16895
P15565,50.0,56.08525
P57706,50.0,52.5450166667
P54471,37.0,36.431
Q4J894,50.0,55.1627666667
Q5JD38,50.0,51.7895
Q9V1J7,37.0,47.68965
Q5JD38,50.0,51.7895
Q06803,44.0,41.5135
A0QYR0,44.0,42.903
A0QYR0,44.0,42.903
P0A873,37.0,35.9245
P38793,37.0,35.411
P52391,25.0,27.867
P18644,31.0,32.7525
O87833,30.0,32.093
D5FKJ3,28.0,29.9445
Q50538,13.0,28.012
Q50539,13.0,27.8855
O30640,37.0,32.9527916667
O30640,28.0,32.9527916667
Q9F1Y5,34.0,35.6325
Q57880,37.0,47.027
Q8U248,70.0,69.8636238095
Q72IH5,60.0,62.2475
Q59034,65.0,62.897
P25397,37.0,38.437
I6WHP7,30.0,33.83
Q60FX1,30.0,33.676
Q9UZR7,50.0,54.5535
Q8X8S5,37.0,35.6443333333
B3PM23,37.0,35.686
P25087,35.0,36.242
S5M3K7,28.0,28.337
Q27783,25.0,25.751
P32783,37.0,36.848
O27970,80.0,76.0370166667
Q9WZJ3,60.0,64.2865333333
Q86LS9,39.0,37.008
L7Y8B0,40.0,39.2155
R9YJZ9,34.0,35.1243333333
P0A786,25.0,28.22
Q837U7,37.0,37.23575
O93656,37.0,44.6178571429
Q51742,37.0,44.4068571429
Q837U7,37.0,37.23575
A0A0I9QGZ2,65.0,62.5785
Q58980,70.0,68.45325
P0A870,30.0,31.6811
Q9WYD1,80.0,76.39335
P37251,37.0,35.56375
P45261,37.0,35.67675
P9WG39,37.0,36.252
P9WG41,37.0,35.8065833333
Q8U2A4,81.0,80.7450833333
Q9WZ19,85.0,76.7392
Q5SJ01,60.0,64.0438
G4WJC8,25.0,27.6345833333
Q5QKF8,37.0,36.652
B6VP39,37.0,35.855
Q5FAK7,30.0,30.853
Q87EL2,30.0,31.478
Q49610,90.0,81.94525
B0I1V1,37.0,40.2873333333
P9WQN9,37.0,39.983
Q6QHI7,30.0,32.7421666667
P0A722,30.0,32.91725
Q8EZA6,30.0,32.549
O33391,25.0,29.2666666667
P43889,30.0,32.009
Q6C5M4,25.0,28.3473333333
A9YZX5,30.0,31.766
C0LNR0,20.0,25.946
Q74C76,37.0,35.3285
Q9HUU7,37.0,37.1638333333
Q97YF5,83.0,78.8974166667
Q9XCW3,37.0,39.3993571429
Q9XB60,37.0,35.3055
G0YYC4,21.0,26.7115
P0ACV0,30.0,32.4155
P24205,30.0,31.7136666667
Q939X3,30.0,31.9486666667
P53629,37.0,36.1807142857
P43886,25.0,28.4435
Q03BU2,25.0,30.238
P95231,37.0,38.7486666667
D2Z028,30.0,30.849
D2Z028,30.0,30.849
Q6RVB3,38.0,36.918
P9WQD9,37.0,36.739
Q586W9,37.0,35.3246666667
I7LW01,30.0,31.5295
S8GJB1,37.0,35.499
Q9UTM7,37.0,36.02825
A0A125YMC0,30.0,31.00025
S8F3V2,37.0,35.59475
Q81PT0,37.0,37.2203333333
Q81R98,37.0,36.76825
Q5YYQ3,37.0,38.748
A2V7M5,30.0,32.1976666667
Q93UV0,37.0,35.086
Q59601,30.0,31.3141666667
Q59618,30.0,30.2598333333
Q6C5L8,30.0,32.77
A0A0K2X0F2,37.0,37.7711666667
A4YEH9,70.0,68.9408
D9J009,45.0,43.3426666667
Q65KZ6,40.0,38.866
Q6KZT2,55.0,57.9856666667
Q4KIM5,50.0,49.313
D4GWR6,38.0,38.57
B0SN40,44.0,40.1983333333
Q58595,37.0,48.4175
Q84H44,30.0,31.162
D4GS06,30.0,33.7833333333
G8XQY5,35.0,35.191
Q2Z1A8,45.0,40.7165
P42450,43.0,40.133
Q97YI7,70.0,71.2598333333
Q8U0Q0,80.0,79.3456666667
Q9FDQ9,67.0,67.8136666667
P21130,25.0,29.5844166667
Q8GGV4,35.0,38.3525
Q70XJ9,40.0,41.5155
O68609,60.0,53.96325
O54435,37.0,40.4755
A0A059ZV61,60.0,53.668
D4H6M0,65.0,53.2814333333
I7A3T6,80.0,70.629
Q820M5,56.0,47.4323333333
A6LKE9,70.0,69.3855
Q1GY13,45.0,40.6003333333
A4K8Z1,38.0,36.485
Q9HIW6,60.0,61.0371666667
G4RK44,80.0,78.6735
Q7WUI7,98.0,87.32
B3VA58,25.0,30.693
P23316,30.0,32.5085833333
A6ZKY2,30.0,31.862
P29465,30.0,31.9981666667
Q6BN88,30.0,31.59
Q6CUV2,30.0,30.7343333333
Q9Y751,30.0,30.91775
A5DNB9,30.0,30.8766666667
A7KAK6,30.0,30.63375
Q06321,30.0,30.8631666667
Q1IZQ3,34.0,38.527
Q9RTB7,34.0,35.641
P9WN45,30.0,32.735
Q93HU3,30.0,44.7908666667
Q8DT52,37.0,38.572
P16954,30.0,33.1926666667
Q5JDJ7,70.0,69.8175
C4MH58,48.0,46.9480833333
P30920,65.0,59.3225
P31797,60.0,61.0408333333
Q53I75,55.0,52.6635
O52766,36.0,42.496
P04830,55.0,50.018
B1VC16,63.0,58.151
Q3HUR2,95.0,87.9908333333
Q8X268,81.0,79.3196666667
Q5A6L6,30.0,32.8325
A0A0M5MSC0,37.0,40.0835
Q59316,65.0,66.8082333333
B7XEJ0,37.0,36.576
B7XEJ1,37.0,37.165
Q5GMP2,30.0,30.6
O30511,25.0,30.179
Q9CID5,35.0,36.26025
Q2VPS1,90.0,83.1499333333
Q6WSQ4,80.0,75.4615
B7SY86,73.0,68.913
Q84B24,85.0,78.157
P39107,20.0,26.083
Q9UTR6,30.0,33.623
O58762,37.0,50.1403333333
Q1ARU5,60.0,60.0885833333
A6YM39,37.0,37.65
P95868,40.0,54.3821666667
B7A9X4,75.0,71.8721666667
Q12XX4,50.0,45.035
A0R2E6,45.0,41.07
A9QXB4,80.0,74.4161785714
A9BHI9,70.0,66.3407666667
Q7UXY8,60.0,50.8295714286
A9BEU2,73.0,67.8036666667
Q9RFR0,88.0,78.1415
A9BHJ0,90.0,79.556
Q7URP0,40.0,38.4293833333
Q9F8X1,29.0,33.501
E6UBR9,48.0,45.1116666667
P36667,37.0,37.59775
Q9RN49,37.0,37.369
P9WMY3,37.0,37.0775
Q03084,37.0,36.493
B5L3F2,37.0,37.237
Q077R2,37.0,38.6632857143
A9NG65,40.0,38.4286666667
P54166,30.0,33.6294
Q8A8X4,30.0,34.229
Q8A8Y4,30.0,34.791
Q8P3J4,30.0,33.9205
D9TT09,55.0,57.086
B3VA59,25.0,30.1754
A0R043,37.0,37.298
B8R7Q2,60.0,61.47
G4T024,30.0,32.082
Q9ZEU2,44.0,41.2615
P77846,65.0,66.9677
A9ZRX3,35.0,33.157
B1N0B6,30.0,32.6165
D5FS20,30.0,32.68875
C7DT60,30.0,32.8031666667
B2MUU6,45.0,43.029
D2CFL0,28.0,29.014
G8XR50,28.0,30.8125833333
O52224,28.0,29.02
P85080,45.0,46.97575
P85089,45.0,46.419
Q2I2N5,25.0,30.452
Q9L3Z9,25.0,31.656
B9UNL6,30.0,33.1298571429
A0A0F6TP16,35.0,35.507
H1X7X9,38.0,37.0185
Q0P9B5,37.0,38.891
Q93MQ1,37.0,37.56675
Q9K2V8,37.0,36.6219166667
Q6ST35,40.0,37.901
Q84HQ2,48.0,44.232
B0F411,37.0,36.3826071429
Q14EH6,35.0,35.3906071429
Q59495,30.0,32.8458333333
D6XUS4,55.0,49.8125
Q5FI04,45.0,43.8626666667
Q65JC2,30.0,32.2785
D3WYV9,55.0,52.132
Q74K42,55.0,51.29775
Q8GP32,46.0,45.463
Q7X481,33.0,36.0626666667
A0A0C4WTK3,60.0,51.662
B1YMN6,45.0,42.66825
A5VL73,40.0,39.9422857143
Q5SBN1,40.0,39.419
Q9KCN8,70.0,57.1033333333
Q8U2I1,120.0,101.39025
P9WJJ7,60.0,52.254
Q8U4Q8,80.0,76.7416666667
Q9JP48,30.0,32.1975
Q9HZK1,25.0,30.066
Q57878,80.0,74.7463333333
Q58822,70.0,66.114
Q9RP48,37.0,36.222
O29918,60.0,64.6811666667
Q8U4G1,80.0,80.3783333333
Q5JFG9,70.0,70.9161666667
Q0CQ16,37.0,37.5155
Q9L9F1,30.0,31.944
A2R1N3,37.0,36.9103333333
Q8ZXM4,95.0,89.4405
A2BIX4,95.0,87.06625
Q5JIZ3,70.0,68.34405
Q8A711,25.0,28.6565
P09158,50.0,46.2795
Q9WZC2,59.0,63.9461666667
Q970Z7,80.0,73.0180666667
Q9HIA7,70.0,66.4025833333
A4VLZ3,25.0,27.458
C3MC80,50.0,44.962
Q257D4,37.0,37.1177666667
Q60AN4,33.0,34.885
A2BJU2,95.0,85.2884285714
Q9YC66,60.0,60.562
Q8II79,37.0,37.729
Q12051,25.0,28.9276666667
A3MSR0,105.0,92.1245333333
Q5LI17,37.0,36.594
P60472,37.0,35.294
Q6GHH5,37.0,36.35975
Q8DRB3,37.0,37.129
A0A087IPJ7,37.0,35.892
M1WA41,30.0,32.5624
B1ZU21,28.0,29.494
B5APK2,37.0,35.9553333333
F1AQF9,37.0,36.22275
O15635,37.0,38.16425
Q84IF9,45.0,47.167
P45040,20.0,25.311
A4HPM6,37.0,36.019
A8YBP8,25.0,28.7483333333
A8YBS4,25.0,28.4276666667
Q1M0P5,45.0,40.3605
